rawName,id,name,damageType,damage,knockback,speed,autoswing,rarity,sell,obtained,material,tooltip,subclass,progression tier
Abigail%27s_Flower,5114,Abigail's Flower,Summon,6,Very weak,Very slow,TRUE,3,50 Silver Coins,Drop,FALSE,Summons a friendly ghost to fight for you | 'It's hauntingly beautiful.',Summons,Pre-Bosses
Adamantite_Glaive,406,Adamantite Glaive,Melee,49,Average,Fast,FALSE,4,1 Gold 80 Silver Coins,Crafting,FALSE,,Spears,Pre-mechanical bosses
Adamantite_Repeater,481,Adamantite Repeater,Ranged,42,Very weak,Very fast,TRUE,4,2 Gold 40 Silver Coins,Crafting,FALSE,,Bows,Pre-mechanical bosses
Adamantite_Sword,482,Adamantite Sword,Melee,61,Average,Fast,TRUE,4,2 Gold 76 Silver Coins,Crafting,FALSE,,Swords,Pre-mechanical bosses
Aerial_Bane,3859,Aerial Bane,Ranged,39,Average,Average,TRUE,8,5 Gold Coins,Drop,FALSE,"Shoots splitting arrows, deals more damage to airborne enemies",Bows,Pre-Lunatic Cultist
Ale_Tosser,3821,Ale Tosser,Melee,20,Strong,Very slow,FALSE,1,1 Silver Coin,Drop,FALSE,,,Pre-Skeletron
Amarok,3289,Amarok,Melee,43,Very weak,Fast,FALSE,4,4 Gold Coins,Drop,FALSE,,Yoyos,Pre-mechanical bosses
Amazon,3281,Amazon,Melee,18,Weak,Fast,FALSE,3,1 Gold 30 Silver Coins,Crafting,FALSE,,Yoyos,Pre-Bosses
Amber_Staff,3377,Amber Staff,Magic,21,Average,Average,TRUE,1,40 Silver Coins,Crafting,FALSE,,Wands,Pre-Bosses
Amethyst_Staff,739,Amethyst Staff,Magic,15,Weak,Very slow,FALSE,0,4 Silver Coins,Crafting,FALSE,,Wands,Pre-Bosses
Anchor,2424,Anchor,Melee,70,Very strong,Very fast,FALSE,3,1 Gold Coin,Chest,FALSE,,Flails,Pre-mechanical bosses
Aqua_Scepter,157,Aqua Scepter,Magic,27,Strong,Very fast,TRUE,2,1 Gold 75 Silver Coins,Chest,FALSE,Sprays out a shower of water,Wands,Pre-Wall of Flesh
Arkhalis,3368,Arkhalis,Melee,25,Weak,Fast,FALSE,9,5 Gold Coins,Drop,FALSE,I didn't get this off of a Schmoo',Swords,Pre-Plantera
Artery,3280,Artery,Melee,17,Weak,Fast,FALSE,1,1 Gold Coin,Crafting,FALSE,,Yoyos,Pre-Bosses
Ash_Wood_Bow,5282,Ash Wood Bow,Ranged,10,No knockback,Fast,FALSE,0,20 Copper Coins,Crafting,FALSE,,Bows,Pre-Bosses
Ash_Wood_Sword,5284,Ash Wood Sword,Melee,13,Average,Very fast,FALSE,0,20 Copper Coins,Crafting,FALSE,,Swords,Pre-Bosses
Ballista_Cane,3825,Ballista Cane,Summon,74,Average,Average,FALSE,5,5 Gold Coins,Buy | Crafting,TRUE,Summons a sentry | A slow but high damage tower that shoots piercing bolts | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Plantera
Ballista_Rod,3824,Ballista Rod,Summon,30,Average,Average,FALSE,3,1 Gold Coin,Buy | Crafting,TRUE,Summons a sentry | A slow but high damage tower that shoots piercing bolts | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Skeletron
Ballista_Staff,3826,Ballista Staff,Summon,156,Average,Average,FALSE,8,15 Gold Coins,Buy | Crafting,TRUE,Summons a sentry | A slow but high damage tower that shoots piercing bolts | Costs 10 Etherian Mana per use while defending an Eternia Crystal,Sentries,Pre-Lunatic Cultist
Ball_O%27_Hurt,162,Ball O' Hurt,Melee,30,Average,Very slow,FALSE,1,1 Gold 50 Silver Coins,Chest,FALSE,,Flails,Pre-Bosses
Bananarang,1324,Bananarang,Melee,45,Strong,Very fast,TRUE,5,12 Gold Coins,Drop,FALSE,,Boomerangs,Pre-mechanical bosses
Bat_Bat,5097,Bat Bat,Melee,36,Average,Very slow,FALSE,2,25 Silver Coins,Drop,FALSE,May heal user on hit | 'Maybe I could bat some bats with this.',Swords,Pre-Bosses
Bat_Scepter,1801,Bat Scepter,Magic,45,Very weak,Very fast,TRUE,8,10 Gold Coins,Drop,FALSE,Summons bats to attack your enemies,Wands,Pre-Golem
Beam_Sword,723,Beam Sword,Melee,52,Strong,Very fast,TRUE,4,3 Gold Coins,Drop,FALSE,Shoots a beam of light,Swords,Pre-mechanical bosses
Bee_Gun,1121,Bee Gun,Magic,9,Extremely weak,Very fast,TRUE,2,2 Gold Coins,Drop,FALSE,Shoots bees that will chase your enemy,Magic Guns,Pre-Skeletron
